"Story","Highlights"
"raw cacao powder differs greatly taste processed cacao powder commercial cacao powder often triple fermented roasted commercial companies interested product nutritional value great consistency flavor commercial cacao powder mono tonal flavor raw cacao everything commercial cacao antioxidant super food equal taste vary slightly one part year next taste wonderful intoxicating tannin like aroma mild overtones mahogany foods complexity cooks absolutely love others read book may want go back standard one dimensional cacao baking believe goes well flavors almond extract want extraordinary butter cream icing tad almond extract icing equal chocolate cake personally would go heavy buttermilk sour cream cake acid helps unify amplify flavors like making cake 60 cake flour 5 wheat gluten 40 rice flour reason obvious heavy texture rice flour imparts makes cake stand proud one bite never enough <br ><br >raw cocoa powder rich polyphenols catechins procyanidins shown inhibit low density lipoprotein ldl oxidation atherogenesis variety models human studies also shown daily intake cocoa increases plasma high density lipoprotein hdl decreases ldl levels although drug companies endeavored understand mechanism happens","equidorian ojio arriba carillo  raw oranic  cacao"
"product described organic raw cacao powder peru clearly inferior raw cacao powder taste product definitely good product bitter muddy thin taste compared fuller richer taste real thing vendors soon tasted product destined trash bag understood cheaper organic cacao vendors nowhere near good spend dollars get real thing","poor quality product"
"powder company superb small problem order handled gracious manner customer forever","the best "
"tasty cacao powder arrived unmarked bag organic symbol product description seems real deal good flavor similar better name brand powders purchased past definitely purchase","super delicious "
"bought gift hard buy father loved bread said delicious","bread mixes"
"wonderful product <br ><br >all bread mixes tried amazon disappointing <br ><br >will back make great christmas presents","great"
"figured must bacon like bacon used certain age 40 50 remember deep smoky flavor good bacon cannot found store bacon anymore modern bacon thin lightly poorly smoked even called gourmet bacon old fashioned flavor thickness bacon way good old days arrives nice cool ice pack cheaper buy 12 pack","what bacon is supposed to be"
"love dont use much strong tastes great makes even mediocre salmon taste great","delicous"
"thin crisp fragrant cookies delicious tasty excellent glass cold almond milk hot herbal tea choices like ginger snaps love lars ginger snaps","delicious"
"ginger cookies look anymore found cookie ate entire box share hubby said order get 2 boxes cause would like","omg cookies"
"good tasty authentic flavor ordered last minute christmas knowing going arrive time arrived house christmas eve","good "
"time make year thought would buy never buy cookies would buy son loved thing dip white chocolate <br >thanks","great cookies"
"ya know gluten free diet yearn forbidden treats like licorice malted milk realizing true licorice challenging diet past likely ever repeated near future need alter expectations treat <br ><br >i tried company raspberry laces strawberry laces pretty good although easy chew think bubblegum real licorice understand pretty doggone good alternative <br ><br >so thought try bad could found pleasant chew tough taste nasty medicinal cough syrup aftertaste truly awful <br ><br >so stuck 11 packs <br ><br >see cannot find source buy one pack try tastes may different mine might enjoy","got a chest cold with a nasty cough     "
"finding two family members celiac disease give licorice cherry nibs candy tree organic cherry bites sugar truly rival cherry nibs gluten year real thing husband believes candy tree actually better","better than cherry nibs  the ones with gluten "
